Query,Qty,Manufacturer,MPN,Octopart URL,Part Description,Description,Schematic Reference,Internal Part Number,Lifecycle,Lead Time,RoHS,Total Qty (@ Batch Size: 500),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 500),Unit Price (@ Batch Size: 500),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 500) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
CGA4J3X5R1E335M125AB,2,TDK,CGA4J3X5R1E335M125AB,https://octopart.com/cga4j3x5r1e335m125ab-tdk-28170883,Cap Ceramic 3.3uF 25V X5R 20% SMD 0805 85°C Blister Plastic T/R,3.3u,"C14, C16",C0805,Production (Last Updated: 11 months ago),20w,Compliant,1000,445-12674-1-ND,810-CGA4J3X5R1E335MB,Cut Tape,Tape & Reel,0.1496,0.143,1560,1940,1,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=28170883&sid=459&sig=0636c27&vpid=73771847&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=28170883&sid=2401&sig=0a53d13&vpid=457053270&ai4=706,Mouser,810-CGA4J3X5R1E335MB,Tape & Reel,0.143,0.286,143,1940,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=28170883&sid=2401&sig=0a53d13&vpid=457053270&ai4=706,
RC0603FR-07470RL,2,Yageo,RC0603FR-07470RL,https://octopart.com/rc0603fr-07470rl-yageo-39823780,Res General Purpose Thick Film 0603 470 Ohm 1% 1/10W ±100ppm/°C Molded Paper T/R,470,"R12, R14",R0603,,30w,Compliant,1000,311-470HRCT-ND,603-RC0603FR-07470RL,Cut Tape,Tape & Reel,0.00436,0.005,169002,3760,1,1,https://octopart.com/click/track?c=1&country=FR&ct=offers&ppid=39823780&sid=459&sig=02c8db2&vpid=114982987&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=39823780&sid=2401&sig=0cc291f&vpid=115837033&ai4=706,Utmel Electronic,RC0603FR-07470RL,,0.00085,0.0017,0.85,202918,100,https://octopart.com/click/track?country=FR&ct=offers&ppid=39823780&sid=29008&sig=0392d63&vpid=618310646&ai4=706,
	C3216X5R1E476M160AC,2,TDK,C3216X5R1E476M160AC,https://octopart.com/c3216x5r1e476m160ac-tdk-25947783,C Series 1206 47 uF 25 V ±20 % Tolerance X5R SMT Multilayer Ceramic Capacitor,47u,"C7, C9",C1206,Production (Last Updated: 11 months ago),16w,Compliant,1000,445-8047-1-ND,810-C3216X5R1E476M,Cut Tape,Tape & Reel,0.43125,0.468,944389,92683,1,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=25947783&sid=459&sig=058c53c&vpid=63974688&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=25947783&sid=2401&sig=07de354&vpid=66164551&ai4=706,TTI,C3216X5R1E476M160AC.,,0.404,0.808,404,4200,50,https://octopart.com/click/track?country=FR&ct=offers&ppid=25947783&sid=950&sig=02ca4a6&vpid=187660109&ai4=706,
ASFL1-12.288MHZ-EC-T,1,Abracon,ASFL1-12.288MHZ-EC-T,https://octopart.com/asfl1-12.288mhz-ec-t-abracon-317620,Oscillator XO 12.288MHz 50ppm 15pF (Stability) HCMOS/TTL 60% 3.3V 4-Pin SMD T/R,ASFL-12.288mhz,Q1,ASF,Production (Last Updated: 11 months ago),11w,Compliant,500,300-8245-1-ND,815-ASFL1-12.28-EC-T,Cut Tape,Tape & Reel,0.8904,0.916,646,2279,1,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=317620&sid=459&sig=0f0ab09&vpid=1391126&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=317620&sid=2401&sig=0e2f72d&vpid=93842151&ai4=706,Arrow Electronics,ASFL1-12.288MHZ-EC-T,,0.4268,0.4268,213.4,2,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=317620&sid=1106&sig=01bd5a1&vpid=473089342&ai4=706,
CS4270-CZZ,1,Cirrus Logic,CS4270-CZZ,https://octopart.com/cs4270-czz-cirrus+logic-428038,Audio Codec 2ADC / 2DAC 24-Bit 24-Pin TSSOP Rail,CS4270,U1,TSSOP24,,28w,Compliant,500,598-1040-5-ND,777-CS4270-CZZ,Tube,Tube,3.83592,5.2,0,0,1,1,https://octopart.com/click/track?c=1&country=FR&ct=offers&ppid=428038&sid=459&sig=0b489b6&vpid=1519566&ai4=706,https://octopart.com/click/track?c=1&country=FR&ct=offers&ppid=428038&sid=2401&sig=05a00a3&vpid=37876966&ai4=706,Avnet Europe,CS4270-CZZ,,3.209639000189886,3.209639000189886,1604.819500094943,0,62,https://octopart.com/click/track?c=1&country=FR&ct=offers&ppid=428038&sid=15544&sig=013b9e5&vpid=75823264&ai4=706,
PEC11R-4015F-N0024,3,Bourns,PEC11R-4015F-N0024,https://octopart.com/pec11r-4015f-n0024-bourns-26648251,24 Pulse Incremental Mechanical Rotary Encoder w/ 6 mm Flat Shaft; Through Hole,ENC,"E1, E2, E3",PEC11RN,,24w,Compliant,1500,PEC11R-4015F-N0024-ND,652-PEC11R-4015F-N24,Tray,Tray,0.7984,0.774,0,0,1,1,https://octopart.com/click/track?c=1&country=FR&ct=offers&ppid=26648251&sid=459&sig=0497343&vpid=93845195&ai4=706,https://octopart.com/click/track?c=1&country=FR&ct=offers&ppid=26648251&sid=2401&sig=03b2186&vpid=88295881&ai4=706,TTI,PEC11R-4015F-N0024,,0.65,1.9500000000000002,975,120,10,https://octopart.com/click/track?country=FR&ct=offers&ppid=26648251&sid=950&sig=04b120b&vpid=144047468&ai4=706,
952-3235-ND,1,Harwin,M20-8890645,https://octopart.com/m20-8890645-harwin-76912500,"Connector, Header, 6Pos, 2.54Mm, 1Row Rohs Compliant: Yes","SERIAL-HEADER
",J3,"SERIAL-HEADER
",,12w,Non-Compliant,500,952-3235-ND,855-M20-8890645,Tube,Tube,0.50298,0.564,3866,1961,1,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=76912500&sid=459&sig=0a1ee7e&vpid=278066743&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=76912500&sid=2401&sig=0b5f8a1&vpid=447146748&ai4=706,Farnell,3225977,,0.48793502532214533,0.48793502532214533,243.96751266107267,1851,10,https://octopart.com/click/track?country=FR&ct=offers&ppid=76912500&sid=819&sig=045aa72&vpid=579197399&ai4=706,
1212-1105-ND,1,Preci-Dip,310-87-120-41-001101,https://octopart.com/310-87-120-41-001101-preci-dip-21424261,Conn Socket Strip SKT 20 POS 2.54mm Solder ST Thru-Hole,OLED128X64,U$1,"OLED-HEADER
",,10w,Compliant,500,1212-1105-ND,437-3108712041001101,Bulk,,0.78228,0.956,1389,302,1,1,https://octopart.com/click/track?c=1&country=FR&ct=offers&ppid=21424261&sid=459&sig=09dd1a6&vpid=59041039&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=21424261&sid=2401&sig=0e10698&vpid=456358789&ai4=706,Digi-Key,1212-1105-ND,Bulk,0.78228,0.78228,391.14,1389,1,https://octopart.com/click/track?c=1&country=FR&ct=offers&ppid=21424261&sid=459&sig=09dd1a6&vpid=59041039&ai4=706,
PVA1 OA H1 1.2N V2,3,C&K Components,PVA1 OA H1 1.2N V2,https://octopart.com/pva1+oa+h1+1.2n+v2-c%26k+components-31930236,Switch Push Button DPST Square Button 0.1A 32VDC Momentary Contact PC Pins Thru-Hole,PVA1,"SW1, SW2, SW3",PVA1,,8w,Compliant,1500,401-1133-ND,,Bulk,,0.98736,,3164,,1,,https://octopart.com/click/track?country=FR&ct=offers&ppid=31930236&sid=459&sig=0274990&vpid=99372625&ai4=706,,TME,PVA1OAH11.2NV2,,0.946545876708674,2.8396376301260218,1419.818815063011,0,5,https://octopart.com/click/track?country=FR&ct=offers&ppid=31930236&sid=1532&sig=0fa3de0&vpid=547498321&ai4=706,
1528-1969-ND,1,Adafruit Industries,1992,https://octopart.com/1992-adafruit+industries-53880115,GPIO Header for Raspberry Pi A+/B+ - Tall 2x20 Female Header,RASPI_BOARD_B+#_E3,X1,RASPI_BOARD_B+_EDGES_3DRILL,,2w,Non-Compliant,500,1528-1969-ND,485-1992,Bulk,,2.95,2.95,555,154,1,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=53880115&sid=459&sig=0e3b608&vpid=419121404&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=53880115&sid=2401&sig=0a83dea&vpid=456348811&ai4=706,Adafruit Industries,ADA1992,,2.36,2.36,1180,-2,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=53880115&sid=13007&sig=08ede54&vpid=244705579&ai4=706,
SJ-3523-SMT-TR,2,CUI Devices,SJ-3523-SMT-TR,https://octopart.com/sj-3523-smt-tr-cui+devices-106234235,"3.5 mm, Stereo, Right Angle, Surface Mount (SMT), Audio Jack Connector",AUDIO-JACK,"J1, J2",AUDIO-JACK,Production (Last Updated: 9 months ago),14w,Compliant,1000,CP-3523SJTR-ND,490-SJ-3523-SMT-TR,Tape & Reel,Tape & Reel,0.52197,0.488,43000,14736,1000,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=106234235&sid=459&sig=09d54c1&vpid=612420308&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=106234235&sid=2401&sig=0a207e3&vpid=595460409&ai4=706,Mouser,490-SJ-3523-SMT-TR,Tape & Reel,0.488,0.976,488,14736,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=106234235&sid=2401&sig=0a207e3&vpid=595460409&ai4=706,
1212-1149-ND,1,Preci-Dip,350-80-120-00-001101,https://octopart.com/350-80-120-00-001101-preci-dip-21642300,Conn Unshrouded Header HDR 20 POS 2.54mm Solder ST Thru-Hole Box,for OLED,,,,10w,Compliant,500,1212-1149-ND,437-3508012000001101,Bulk,,1.25882,1.49,784,324,1,1,https://octopart.com/click/track?c=1&country=FR&ct=offers&ppid=21642300&sid=459&sig=08c73f3&vpid=59041083&ai4=706,https://octopart.com/click/track?country=FR&ct=offers&ppid=21642300&sid=2401&sig=045ff10&vpid=458572363&ai4=706,Digi-Key,1212-1149-ND,Bulk,1.25882,1.25882,629.4100000000001,784,1,https://octopart.com/click/track?c=1&country=FR&ct=offers&ppid=21642300&sid=459&sig=08c73f3&vpid=59041083&ai4=706,
NHD-2.7-12864WDY3,1,Newhaven Display,NHD-2.7-12864WDY3,https://octopart.com/nhd-2.7-12864wdy3-newhaven+display-84706410,OLED Displays & Accessories 2.7 in Yellow OLED 128 x 64,OLED,,,,20w,Non-Compliant,500,NHD-2.7-12864WDY3-ND,763-NHD2712864WDY3,Tray,Bulk,37.68,28.87,1794,0,1,1,https://octopart.com/click/track?country=FR&ct=offers&ppid=84706410&sid=459&sig=0ecc347&vpid=452496676&ai4=706,https://octopart.com/click/track?c=1&country=FR&ct=offers&ppid=84706410&sid=2401&sig=0042e48&vpid=452396334&ai4=706,Master Electronics,NHD-2.7-12864WDY3,,28.07,28.07,14035,0,1,https://octopart.com/click/track?c=1&country=FR&ct=offers&ppid=84706410&sid=2595&sig=04c1855&vpid=591714526&ai4=706,
